id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
2217171010,传染病,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1213203384.jpg,2011-09-03(威尼斯电影节),https://movie.douban.com/subject/4301043/,7.1,"剧情,科幻,惊悚",5,,,2020-02-18 22:09:09,2011 / 美国 阿联酋 / 剧情 科幻 惊悚 灾难 / 史蒂文·索德伯格 / 玛丽昂·歌迪亚 马特·达蒙
2216270109,王国 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2542945898.jpg,2019-01-25(韩国),https://movie.douban.com/subject/26947951/,8.6,"剧情,恐怖,古装",4,,,2020-02-18 16:35:01,2019 / 美国 韩国 / 剧情 恐怖 古装 / 金成勋 / 朱智勋 裴斗娜
2214798373,血疫 第一季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2553373343.jpg,2019-05-27(美国),https://movie.douban.com/subject/26581181/,8.1,"剧情,惊悚",5,,,2020-02-18 00:20:01,2019 / 美国 / 剧情 惊悚 / 迈克尔·乌彭达尔 / 朱丽安娜· 玛格丽丝 诺亚·艾默里奇
2213696500,白夜追凶,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2483150767.jpg,2017-08-30(中国大陆),https://movie.douban.com/subject/26883064/,8.9,"剧情,悬疑,犯罪",5,,,2020-02-17 18:45:04,2017 / 中国大陆 / 剧情 悬疑 犯罪 / 王伟 / 潘粤明 王龙正
2213695102,权力的游戏 第八季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2553679104.jpg,2019-04-14(美国),https://movie.douban.com/subject/26584183/,6.1,"剧情,奇幻,冒险",3,,,2020-02-17 18:44:30,2019 / 美国 / 剧情 奇幻 冒险 / 米格尔·萨普什尼克 大卫·努特尔 戴维·贝尼奥夫 D·B·威斯 / 艾米莉亚·克拉克 基特·哈灵顿
2213687271,曼达洛人 第一季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2566627804.jpg,2019-11-12(美国),https://movie.douban.com/subject/30344167/,9.2,"科幻,奇幻",5,,,2020-02-17 18:41:28,2019 / 美国 / 科幻 奇幻 / 黛博拉·周 瑞克·法穆易瓦 戴夫·菲洛尼 布莱丝·达拉斯·霍华德 塔伊加·维迪提 / 佩德罗·帕斯卡 卡尔·韦瑟斯
2212643036,信号,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2304228229.jpg,2016-01-22(韩国),https://movie.douban.com/subject/26310143/,9.2,"剧情,悬疑,犯罪",5,,,2020-02-17 11:14:17,2016 / 韩国 / 剧情 悬疑 犯罪 奇幻 / 金元锡 / 李帝勋 赵震雄
2211771072,寄生虫,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2561439800.jpg,2019-05-21(戛纳电影节),https://movie.douban.com/subject/27010768/,8.8,剧情,5,,,2020-02-17 00:12:34,2019 / 韩国 / 剧情 / 奉俊昊 / 宋康昊 李善均
2211769069,相对宇宙 第二季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2537095266.jpg,2018-12-09(美国),https://movie.douban.com/subject/30188053/,9,"剧情,科幻,惊悚",5,,,2020-02-17 00:12:02,2018 / 美国 / 剧情 科幻 惊悚 / 詹妮弗·盖辛格 / J·K·西蒙斯 哈里·劳埃德
2211768039,相对宇宙 第一季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2506488961.jpg,2017-12-10(美国),https://movie.douban.com/subject/26474254/,8.5,"剧情,科幻,惊悚",5,,,2020-02-17 00:11:41,2017 / 美国 / 剧情 科幻 惊悚 / 埃里克·萨哈罗夫 莫滕·泰杜姆 / J·K·西蒙斯 奥莉维亚·威廉姆斯
2211766602,心灵猎人 第二季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2565381508.jpg,2019-08-16(美国),https://movie.douban.com/subject/27008551/,8.8,"剧情,惊悚,犯罪",5,,,2020-02-17 00:11:14,2019 / 美国 / 剧情 惊悚 犯罪 / 大卫·芬奇 安德鲁·多米尼克 卡尔·弗兰克林 / 乔纳森·格罗夫 霍特·麦克卡兰尼
2211766092,心灵猎人 第一季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2502557574.jpg,2017-10-13(美国),https://movie.douban.com/subject/26691486/,9,"剧情,惊悚,犯罪",5,,,2020-02-17 00:11:06,2017 / 美国 / 剧情 惊悚 犯罪 / 大卫·芬奇 安德鲁·道格拉斯 阿斯弗·卡帕迪尔 托比亚斯·林道赫姆 / 乔纳森·格罗夫 霍特·麦克卡兰尼
2211763653,毒枭：墨西哥 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2537376179.jpg,2018-11-16(美国),https://movie.douban.com/subject/26869686/,9.1,"剧情,动作,犯罪",5,,,2020-02-17 00:10:22,2018 / 美国 墨西哥 / 剧情 动作 犯罪 / 约瑟夫·久保田·瓦拉达卡 安德烈斯·拜斯 阿玛特·伊斯卡拉特 阿隆索·帕拉西奥斯 / 迭戈·卢纳 迈克尔·佩纳
2211761121,毒枭：墨西哥 第二季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2582588237.jpg,2020-02-13(美国),https://movie.douban.com/subject/30395836/,9,"剧情,动作,犯罪",5,,,2020-02-17 00:09:37,2020 / 美国 墨西哥 / 剧情 动作 犯罪 / 安德烈斯·拜斯 阿玛特·伊斯卡拉特 玛塞拉·萨义德 / 迭戈·卢纳 斯科特·麦克纳里
2211755382,我们与恶的距离,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2554916825.jpg,2019-03-24(中国台湾),https://movie.douban.com/subject/30181230/,9.4,剧情,5,,,2020-02-17 00:08:00,2019 / 中国台湾 / 剧情 / 林君阳 / 贾静雯 温升豪
2128641490,非诚勿扰2,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p725272302.jpg,2010-12-22(中国大陆),https://movie.douban.com/subject/4271894/,6.6,"喜剧,爱情",,,,2020-01-10 10:28:56,2010 / 中国大陆 / 喜剧 爱情 / 冯小刚 / 葛优 舒淇
2128641284,致我们终将逝去的青春,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1935067049.jpg,2013-04-26(中国大陆),https://movie.douban.com/subject/6973376/,6.5,"剧情,爱情",,,,2020-01-10 10:28:43,2013 / 中国大陆 / 剧情 爱情 / 杨子姗 赵又廷
2128641252,失恋33天,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1252876266.jpg,2011-11-08(中国大陆),https://movie.douban.com/subject/4873490/,7.2,"剧情,爱情",,,,2020-01-10 10:28:40,2011 / 中国大陆 / 剧情 爱情 / 滕华涛 / 白百何 文章
2128640985,延禧攻略,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2509891341.jpg,2018-07-19(中国大陆),https://movie.douban.com/subject/26999852/,7.1,"剧情,爱情,古装",5,,,2020-01-10 10:28:21,2018 / 中国大陆 / 剧情 爱情 古装 / 惠楷栋 温德光 / 秦岚 聂远
617017961,人再囧途之泰囧,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1793720172.jpg,2012-12-12(中国大陆),https://movie.douban.com/subject/10574622/,7.5,喜剧,5,没什么说的，去电影院就对了~~,"喜剧,搞笑,2012,贺岁,泰国,恶搞,温情,公路,冒险,励志",2012-12-16 23:28:38,2012 / 中国大陆 / 喜剧 / 徐峥 / 徐峥 王宝强
406038478,建党伟业,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2394309725.jpg,2011-06-15(中国大陆),https://movie.douban.com/subject/4073898/,0,"剧情,历史",1,,,2011-06-22 15:00:11,2011 / 中国大陆 中国香港 / 剧情 历史 / 韩三平 黄建新 / 刘烨 冯远征
